task_id,axis,condition,law,variant,panel,role,solver,mode,status,full_time_truth,uncertainty
v3_selected__S3_synthetic__synthetic__gain__gw_high__0__0__O2__20,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,0,selected,O2,center_EEG_own,completed,"{""r"": {""nrmse"": 0.41631659800535137, ""correlation"": 0.9138575887944873, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.41631659800535137, ""correlation"": 0.9138575887944873, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.3668003025779026, ""correlation"": 0.9682641010561509, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.40293499123942905, ""correlation"": 0.9593484247232783, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__0__0__O2__20,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,0,selected,O2,center_EEG_template,completed,"{""r"": {""nrmse"": 1.1040656924287187, ""correlation"": 0.11071530617638083, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 1.1040656924287187, ""correlation"": 0.11071530617638083, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 1.1949712778463633, ""correlation"": 0.04697814831473968, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.2900058448897613, ""correlation"": 0.33686513507184074, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__0__0__O2__20,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,0,selected,O2,center_EEG_pairing,completed,"{""r"": {""nrmse"": 1.5707886549239687, ""correlation"": -0.3976613870084671, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 1.5707886549239687, ""correlation"": -0.3976613870084671, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 1.629652304390678, ""correlation"": -0.7230783249213899, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.6938734970496245, ""correlation"": -0.5992884517441227, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__0__0__O2__20,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,0,selected,O2,center_EEG_shift,completed,"{""r"": {""nrmse"": 1.5795878973289945, ""correlation"": 0.2861613520012918, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 1.5795878973289945, ""correlation"": 0.2861613520012918, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 1.4910898139256388, ""correlation"": 0.026638845630596132, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.6182773789768663, ""correlation"": -0.15182731329045543, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__0__0__O2__20,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,0,selected,O2,center_fNIRS,completed,"{""r"": {""nrmse"": 0.46102559314498615, ""correlation"": 0.9250688577942282, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.46102559314498615, ""correlation"": 0.9250688577942282, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.18601448610649676, ""correlation"": 0.9978825340555929, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.2333895415808136, ""correlation"": 0.9953158991525912, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__0__0__O2__20,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,0,selected,O2,center_fNIRS_own,completed,"{""r"": {""nrmse"": 0.5356028577509011, ""correlation"": 0.8987784236172323, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.5356028577509011, ""correlation"": 0.8987784236172323, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.1728263845520558, ""correlation"": 0.9982693245663067, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.21583382188751854, ""correlation"": 0.9963385282014361, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__0__0__O2__20,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,0,selected,O2,center_fNIRS_template,completed,"{""r"": {""nrmse"": 0.7655062654529043, ""correlation"": 0.7963339157597087, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.7655062654529043, ""correlation"": 0.7963339157597087, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.5985389829363781, ""correlation"": 0.9910051926045395, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.7650364460655578, ""correlation"": 0.9735261471953082, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__0__0__O2__20,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,0,selected,O2,center_fNIRS_pairing,completed,"{""r"": {""nrmse"": 0.6396242757381673, ""correlation"": 0.8272051338285351, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.6396242757381673, ""correlation"": 0.8272051338285351, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.4088182489917211, ""correlation"": 0.9955283824292667, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.507931525510128, ""correlation"": 0.9874559666648697, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__0__0__O2__20,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,0,selected,O2,center_fNIRS_shift,completed,"{""r"": {""nrmse"": 0.5534753545630939, ""correlation"": 0.880867629653959, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.5534753545630939, ""correlation"": 0.880867629653959, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.24967627924722988, ""correlation"": 0.9988592016335235, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.31503915971094393, ""correlation"": 0.9950340252938161, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_assessment__S3_synthetic__synthetic__gain__gw_high__1__O2__0__oracle,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,oracle,O2,full,completed,"{""r"": {""nrmse"": 0.6768881811092436, ""correlation"": 0.8975011512305417, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.6768881811092436, ""correlation"": 0.8975011512305417, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.06188021311583463, ""correlation"": 0.9993337237328618, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.09514568500458086, ""correlation"": 0.9981291990635963, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_assessment__S3_synthetic__synthetic__gain__gw_high__1__O2__0__oracle,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,oracle,O2,EEG_only,completed,"{""r"": {""nrmse"": 0.6852069139212544, ""correlation"": 0.8881379302683161, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.6852069139212544, ""correlation"": 0.8881379302683161, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.6705121576420819, ""correlation"": 0.9202708799149059, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.7315303302229663, ""correlation"": 0.7836737838707171, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_assessment__S3_synthetic__synthetic__gain__gw_high__1__O2__0__oracle,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,oracle,O2,fNIRS_only,completed,"{""r"": {""nrmse"": 0.7490369661992461, ""correlation"": 0.8696324145751926, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.7490369661992461, ""correlation"": 0.8696324145751926, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.04225528335469799, ""correlation"": 0.9993139211317161, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.07145625731543596, ""correlation"": 0.9979859366087412, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_assessment__S3_synthetic__synthetic__gain__gw_high__1__O2__0__oracle,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,oracle,O2,all_missing,completed,"{""r"": {""nrmse"": 1.0905496380190456, ""correlation"": null, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 1.0905496380190456, ""correlation"": null, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 1.185746198434323, ""correlation"": null, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.1073017920377803, ""correlation"": null, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_assessment__S3_synthetic__synthetic__gain__gw_high__1__O2__0__oracle,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,oracle,O2,center_EEG,completed,"{""r"": {""nrmse"": 0.6954752814037399, ""correlation"": 0.8927312616468623, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.6954752814037399, ""correlation"": 0.8927312616468623, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.05246283375922285, ""correlation"": 0.9993575592354996, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.08330752466537045, ""correlation"": 0.9982572100120888, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_assessment__S3_synthetic__synthetic__gain__gw_high__1__O2__0__oracle,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,oracle,O2,center_EEG_own,completed,"{""r"": {""nrmse"": 0.7146947962227181, ""correlation"": 0.8625872001572872, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.7146947962227181, ""correlation"": 0.8625872001572872, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.6849333570641188, ""correlation"": 0.9113493387142896, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.7404429341995346, ""correlation"": 0.7691476922664858, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_assessment__S3_synthetic__synthetic__gain__gw_high__1__O2__0__oracle,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,oracle,O2,center_EEG_template,completed,"{""r"": {""nrmse"": 0.9827901204829267, ""correlation"": 0.5106735235787285, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.9827901204829267, ""correlation"": 0.5106735235787285, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 1.1038006025388696, ""correlation"": 0.502167429297176, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.0673054669456832, ""correlation"": 0.2079995626846218, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_assessment__S3_synthetic__synthetic__gain__gw_high__1__O2__0__oracle,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,oracle,O2,center_EEG_pairing,completed,"{""r"": {""nrmse"": 1.244657696708661, ""correlation"": 0.3326459193670678, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 1.244657696708661, ""correlation"": 0.3326459193670678, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 1.3221849833479777, ""correlation"": 0.040388822246284144, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.4876525918059234, ""correlation"": 0.18623144509154244, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_assessment__S3_synthetic__synthetic__gain__gw_high__1__O2__0__oracle,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,oracle,O2,center_EEG_shift,completed,"{""r"": {""nrmse"": 1.859419065831991, ""correlation"": -0.32572576279384735, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 1.859419065831991, ""correlation"": -0.32572576279384735, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 1.723340134269627, ""correlation"": -0.500240486150833, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.3899750671580287, ""correlation"": 0.03197183905657363, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_assessment__S3_synthetic__synthetic__gain__gw_high__1__O2__0__oracle,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,oracle,O2,center_fNIRS,completed,"{""r"": {""nrmse"": 0.6689100211955084, ""correlation"": 0.8966654560269209, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.6689100211955084, ""correlation"": 0.8966654560269209, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.08109027327654675, ""correlation"": 0.997324303350177, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.10284672667916134, ""correlation"": 0.9959645006149985, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_assessment__S3_synthetic__synthetic__gain__gw_high__1__O2__0__oracle,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,oracle,O2,center_fNIRS_own,completed,"{""r"": {""nrmse"": 0.7373271816503356, ""correlation"": 0.8704281502122962, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.7373271816503356, ""correlation"": 0.8704281502122962, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.0591352554973157, ""correlation"": 0.9983199397509774, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.0826492744941889, ""correlation"": 0.9967875403063828, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_assessment__S3_synthetic__synthetic__gain__gw_high__1__O2__0__oracle,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,oracle,O2,center_fNIRS_template,completed,"{""r"": {""nrmse"": 0.7710761116549423, ""correlation"": 0.8303300518324815, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.7710761116549423, ""correlation"": 0.8303300518324815, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.4106811494865021, ""correlation"": 0.9950146741105685, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.5329517277422215, ""correlation"": 0.9807195151310296, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_assessment__S3_synthetic__synthetic__gain__gw_high__1__O2__0__oracle,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,oracle,O2,center_fNIRS_pairing,completed,"{""r"": {""nrmse"": 0.6624367829796282, ""correlation"": 0.8740784387475504, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.6624367829796282, ""correlation"": 0.8740784387475504, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.1385167322598201, ""correlation"": 0.9988240477748237, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.19037429539724016, ""correlation"": 0.9960256039658002, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_assessment__S3_synthetic__synthetic__gain__gw_high__1__O2__0__oracle,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,oracle,O2,center_fNIRS_shift,completed,"{""r"": {""nrmse"": 0.7196622167161882, ""correlation"": 0.8453413672411187, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.7196622167161882, ""correlation"": 0.8453413672411187, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.20018023608814234, ""correlation"": 0.9958365432120542, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.2562261874277104, ""correlation"": 0.9908983397021605, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__1__0__O2__0,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,selected,O2,full,completed,"{""r"": {""nrmse"": 0.4772629269056961, ""correlation"": 0.9007612341121037, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4772629269056961, ""correlation"": 0.9007612341121037, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.6532279686248691, ""correlation"": 0.9953178425087672, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.1111926498636433, ""correlation"": 0.9551268162185341, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__1__0__O2__0,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,selected,O2,EEG_only,completed,"{""r"": {""nrmse"": 0.6852069139212544, ""correlation"": 0.8881379302683161, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.6852069139212544, ""correlation"": 0.8881379302683161, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.8941948043644985, ""correlation"": 0.9202708799149059, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.3399116865497211, ""correlation"": 0.7836737838707171, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__1__0__O2__0,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,selected,O2,fNIRS_only,completed,"{""r"": {""nrmse"": 0.5504392540508659, ""correlation"": 0.8692717658785317, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.5504392540508659, ""correlation"": 0.8692717658785317, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.6942705789856211, ""correlation"": 0.9950603604853647, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.1591003403619502, ""correlation"": 0.9559946415388507, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__1__0__O2__0,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,selected,O2,all_missing,completed,"{""r"": {""nrmse"": 1.0905496380190456, ""correlation"": null, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 1.0905496380190456, ""correlation"": null, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 1.185746198434323, ""correlation"": null, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.1073017920377803, ""correlation"": null, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__1__0__O2__0,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,selected,O2,center_EEG,completed,"{""r"": {""nrmse"": 0.48764213231598286, ""correlation"": 0.8948216489078663, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.48764213231598286, ""correlation"": 0.8948216489078663, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.6551237300495839, ""correlation"": 0.9952998809486776, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.1137032261973607, ""correlation"": 0.9551010000875476, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__1__0__O2__0,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,selected,O2,center_EEG_own,completed,"{""r"": {""nrmse"": 0.7146947962227181, ""correlation"": 0.8625872001572872, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.7146947962227181, ""correlation"": 0.8625872001572872, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.8686646048262565, ""correlation"": 0.9113493387142896, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.3015321700998288, ""correlation"": 0.7691476922664858, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__1__0__O2__0,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,selected,O2,center_EEG_template,completed,"{""r"": {""nrmse"": 1.0062215545637305, ""correlation"": 0.5363164825316619, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 1.0062215545637305, ""correlation"": 0.5363164825316619, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 1.139335277753177, ""correlation"": 0.4942109866491095, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.0999395275066732, ""correlation"": 0.1843991843203535, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__1__0__O2__0,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,selected,O2,center_EEG_pairing,completed,"{""r"": {""nrmse"": 0.9700345641851008, ""correlation"": 0.35288293560761286, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.9700345641851008, ""correlation"": 0.35288293560761286, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 1.3122708834270818, ""correlation"": 0.038588902982303094, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.4401628379577962, ""correlation"": 0.2024751668629043, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__1__0__O2__0,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,selected,O2,center_EEG_shift,completed,"{""r"": {""nrmse"": 1.330298168002694, ""correlation"": -0.17675822896815693, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 1.330298168002694, ""correlation"": -0.17675822896815693, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 1.8761074502341084, ""correlation"": -0.4811990444215697, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.8412497341923002, ""correlation"": -0.03852211505336384, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__1__0__O2__0,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,selected,O2,center_fNIRS,completed,"{""r"": {""nrmse"": 0.4694622361239888, ""correlation"": 0.9033378988366405, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4694622361239888, ""correlation"": 0.9033378988366405, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.6314302827311399, ""correlation"": 0.9953407430162877, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.0868405581256824, ""correlation"": 0.9540165240050492, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3_selected__S3_synthetic__synthetic__gain__gw_high__1__0__O2__0,gain,"{""id"": ""gw_high"", ""law"": ""nonlinear_gaussian"", ""g"": 0.3, ""w"": 0.25}",,,1,selected,O2,center_fNIRS_own,completed,"{""r"": {""nrmse"": 0.5432028315371372, ""correlation"": 0.8723333513204056, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.5432028315371372, ""correlation"": 0.8723333513204056, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.6765846559511286, ""correlation"": 0.9950912356058048, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 1.1407207294518642, ""correlation"": 0.9553210177572267, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
